"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\React\see-u-letter\src\App.js", "JavaScript", 53, 0, 0, 3, 11, 67
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\FontOptionsScreen.js", "JavaScript", 221, 0, 0, 25, 49, 295
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\LetterPaperOptionsScreen.js", "JavaScript", 36, 0, 0, 0, 13, 49
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\MonthOptionsScreen.js", "JavaScript", 83, 0, 0, 1, 28, 112
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\ReceiverOptionsScreen.js", "JavaScript", 73, 0, 0, 8, 23, 104
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\TopicOptionsIntroScreen.js", "JavaScript", 67, 0, 0, 1, 20, 88
"c:\React\see-u-letter\src\Screens\LetterOptionsFlow\TopicOptionsScreen.js", "JavaScript", 86, 0, 0, 4, 21, 111
"c:\React\see-u-letter\src\Screens\PayFlow\DeliveryInfoScreen.js", "JavaScript", 180, 0, 0, 13, 67, 260
"c:\React\see-u-letter\src\Screens\PhotoUploadScreen.js", "JavaScript", 86, 0, 0, 2, 31, 119
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\FaQData.js", "JavaScript", 13, 0, 0, 0, 3, 16
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\FaQScreen.js", "JavaScript", 178, 0, 0, 1, 51, 230
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\IntroScreen.js", "JavaScript", 64, 0, 0, 0, 16, 80
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\LandingScreen.js", "JavaScript", 12, 0, 0, 0, 4, 16
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\MainScreen.js", "JavaScript", 205, 0, 0, 5, 55, 265
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\SenderInfoScreen.js", "JavaScript", 136, 0, 0, 1, 29, 166
"c:\React\see-u-letter\src\Screens\ServiceIntroductionFlow\TermsOfServiceScreen.js", "JavaScript", 84, 0, 0, 0, 25, 109
"c:\React\see-u-letter\src\Screens\WritingLetterFlow\TryQuill.js", "JavaScript", 105, 0, 0, 21, 30, 156
"c:\React\see-u-letter\src\Screens\WritingLetterFlow\WritingLetter.js", "JavaScript", 160, 0, 0, 46, 59, 265
"c:\React\see-u-letter\src\Screens\WritingLetterScreen.js", "JavaScript", 0, 0, 0, 34, 0, 34
